	GeneID	Symbol	Aliases	description	other_designations	Pathway	OMIM	swissprot_id	protein_length
0	18	ABAT	GABA-AT, GABAT, NPD009	4-aminobutyrate aminotransferase	4-aminobutyrate aminotransferase, mitochondrial|(S)-3-amino-2-methylpropionate transaminase|4-aminobutyrate transaminase|GABA aminotransferase|GABA transaminase|GABA transferase|gamma-amino-N-butyrate transaminase|gamma-aminobutyrate aminotransferase	RNAP	137150	P80404	500.0
1	19	ABCA1	ABC-1, ABC1, CERP, HDLCQTL13, HDLDT1, HPALP1, TGD	ATP binding cassette subfamily A member 1	phospholipid-transporting ATPase ABCA1|ATP-binding cassette sub-family A member 1|ATP-binding cassette transporter A1|ATP-binding cassette, sub-family A (ABC1), member 1|cholesterol efflux regulatory protein|membrane-bound	RNAP	600046	O95477	2261.0
2	25	ABL1	ABL, BCR-ABL, CHDSKM, JTK7, bcr/abl, c-ABL, c-ABL1, p150, v-abl	ABL proto-oncogene 1, non-receptor tyrosine kinase	tyrosine-protein kinase ABL1|ABL protooncogene 1 nonreceptor tyrosine kinase|Abelson tyrosine-protein kinase 1|BCR-ABL1 p190|BCR/ABL e8a2 fusion|BCR/ABL1 e1a2 fusion protein|bcr/c-abl oncogene protein|c-abl oncogene 1, receptor tyrosine kinase|proto-oncogene c-Abl|proto-oncogene tyrosine-protein kinase ABL1|v-abl Abelson murine leukemia viral oncogene homolog 1	RNAP	189980	P00519	1130.0
3	27	ABL2	ABLL, ARG	ABL proto-oncogene 2, non-receptor tyrosine kinase	tyrosine-protein kinase ABL2|Abelson tyrosine-protein kinase 2|abelson-related gene protein|c-abl oncogene 2, non-receptor tyrosine kinase|tyrosine-protein kinase ARG|v-abl Abelson murine leukemia viral oncogene homolog 2	RNAP	164690	P42684	1182.0
4	32	ACACB	ACACbeta, ACC-beta, ACC2, ACCB, ACCbeta, HACC275	acetyl-CoA carboxylase beta	acetyl-CoA carboxylase 2|acetyl-Coenzyme A carboxylase beta	RNAP	601557	O00763	2458.0
5	33	ACADL	ACAD4, LCAD	acyl-CoA dehydrogenase long chain	long-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-Coenzyme A dehydrogenase, long chain|long-chain acyl-CoA dehydrogenase	RNAP	609576	P28330	430.0
6	40	ASIC2	ACCN, ACCN1a, BNC1, BNaC1, MDEG, hBNaC1, ASIC2	acid sensing ion channel subunit 2	acid-sensing ion channel 2|acid sensing (proton gated) ion channel 2|amiloride-sensitive cation channel 1, neuronal|brain Na+ channel-1|brain sodium channel 1|mammalian degenerin homolog|neuronal amiloride-sensitive cation channel 1	RNAP	601784	Q16515	512.0
7	43	ACHE	ACEE, ARACHE, N-ACHE, YT	acetylcholinesterase (Cartwright blood group)	acetylcholinesterase|Yt blood group|acetylcholinesterase (Yt blood group)|apoptosis-related acetylcholinesterase	RNAP	100740	P22303	614.0
8	59	ACTA2	ACTSA	actin alpha 2, smooth muscle	actin, aortic smooth muscle|actin, alpha 2, smooth muscle, aorta|alpha-cardiac actin|cell growth-inhibiting gene 46 protein	RNAP	102620	P62736	377.0
9	60	ACTB	BRWS1, PS1TP5BP1	actin beta	actin, cytoplasmic 1|I(2)-actin|PS1TP5-binding protein 1|beta cytoskeletal actin	RNAP	102630	P60709	375.0
10	86	ACTL6A	ACTL6, ARPN-BETA, Arp4, BAF53A, INO80K, SMARCN1	actin like 6A	actin-like protein 6A|53 kDa BRG1-associated factor A|BAF complex 53 kDa subunit|BAF53|BRG1-associated factor 53A|INO80 complex subunit K|actin-related protein 4|actin-related protein Baf53a|arpNbeta|hArpN beta	RNAP	604958	O96019	429.0
11	89	ACTN3	ACTN3D	actinin alpha 3	alpha-actinin-3|F-actin cross-linking protein|alpha-actinin skeletal muscle	RNAP	102574	Q08043	901.0
12	90	ACVR1	ACTRIA, ACVRLK2, ALK2, FOP, SKR1, TSRI, ACVR1	activin A receptor type 1	activin receptor type-1|TGF-B superfamily receptor type I|activin A receptor, type I|activin A receptor, type II-like kinase 2|activin receptor type I|activin receptor-like kinase 2|hydroxyalkyl-protein kinase|serine/threonine-protein kinase receptor R1	RNAP	102576	Q04771	509.0
13	91	ACVR1B	ACTRIB, ACVRLK4, ALK4, SKR2	activin A receptor type 1B	activin receptor type-1B|activin A receptor, type IB|activin A receptor, type II-like kinase 4|activin receptor-like kinase 4|serine/threonine-protein kinase receptor R2	RNAP	601300	P36896	505.0
14	92	ACVR2A	ACTRII, ACVR2	activin A receptor type 2A	activin receptor type-2A|activin A receptor, type IIA	RNAP	102581	P27037	513.0
15	93	ACVR2B	ACTRIIB, ActR-IIB, HTX4	activin A receptor type 2B	activin receptor type-2B|activin A receptor, type IIB	RNAP	602730	Q13705	512.0
16	94	ACVRL1	ACVRLK1, ALK-1, ALK1, HHT, HHT2, ORW2, SKR3, TSR-I	activin A receptor like type 1	serine/threonine-protein kinase receptor R3|TGF-B superfamily receptor type I|activin A receptor type II-like 1|activin A receptor type IL|activin A receptor, type II-like kinase 1	RNAP	601284	P37023	503.0
17	100	ADA	ADA1	adenosine deaminase	adenosine deaminase|adenosine aminohydrolase	RNAP	608958	P00813	363.0
18	101	ADAM8	CD156, CD156a, MS2	ADAM metallopeptidase domain 8	disintegrin and metalloproteinase domain-containing protein 8|a disintegrin and metalloproteinase domain 8|cell surface antigen MS2|human leukocyte differentiation antigen	RNAP	602267	P78325	824.0
19	116	ADCYAP1	PACAP	adenylate cyclase activating polypeptide 1	pituitary adenylate cyclase-activating polypeptide|adenylate cyclase activating polypeptide 1 (pituitary)|prepro-PACAP	RNAP	102980	P18509	176.0
20	120	ADD3	ADDL, CPSQ3	adducin 3	gamma-adducin|adducin 3 (gamma)|adducin-like protein 70	RNAP	601568	Q9UEY8	706.0
21	133	ADM	AM, PAMP	adrenomedullin	pro-adrenomedullin|preproadrenomedullin|proadrenomedullin N-20 terminal peptide	RNAP	103275	P35318	185.0
22	135	ADORA2A	A2aR, ADORA2, RDC8	adenosine A2a receptor	adenosine receptor A2a|adenosine receptor subtype A2a	RNAP	102776	P29274	412.0
23	136	ADORA2B	ADORA2	adenosine A2b receptor	adenosine receptor A2b	RNAP	600446	P29275	332.0
24	142	PARP1	ADPRT, ADPRT 1, ADPRT1, ARTD1, PARP, PARP-1, PARS, PPOL, Poly-PARP, pADPRT-1	poly(ADP-ribose) polymerase 1	poly [ADP-ribose] polymerase 1|ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)|ADP-ribosyltransferase NAD(+)|ADP-ribosyltransferase diphtheria toxin-like 1|DNA ADP-ribosyltransferase PARP1|NAD(+) ADP-ribosyltransferase 1|poly (ADP-ribose) polymerase family, member 1|poly(ADP-ribose) synthetase|poly(ADP-ribosyl)transferase|poly[ADP-ribose] synthase 1|protein poly-ADP-ribosyltransferase PARP1	RNAP	173870	P09874	1014.0
25	146	ADRA1D	ADRA1, ADRA1A, ADRA1R, ALPHA1, DAR, dJ779E11.2	adrenoceptor alpha 1D	alpha-1D adrenergic receptor|adrenergic, alpha -1D-, receptor|adrenergic, alpha-1A-, receptor|alpha-1A adrenergic receptor|alpha-1D adrenoceptor|alpha-1D adrenoreceptor|alpha-adrenergic receptor 1a	RNAP	104219	P25100	572.0
26	147	ADRA1B	ADRA1, ALPHA1BAR	adrenoceptor alpha 1B	alpha-1B adrenergic receptor|adrenergic, alpha-1B-, receptor|alpha-1B adrenoceptor|alpha-1B adrenoreceptor	RNAP	104220	P35368	520.0
27	148	ADRA1A	ADRA1C, ADRA1L1, ALPHA1AAR	adrenoceptor alpha 1A	alpha-1A adrenergic receptor|G protein coupled receptor|alpha-1A adrenoceptor|alpha-1A adrenoreceptor|alpha-1C adrenergic receptor	RNAP	104221	P35348	466.0
28	150	ADRA2A	ADRA2, ADRA2R, ADRAR, ALPHA2AAR, ZNF32	adrenoceptor alpha 2A	alpha-2A adrenergic receptor|adrenergic, alpha-2A-, receptor|alpha-2 adrenergic receptor subtype C10|alpha-2-adrenergic receptor, platelet type|alpha-2A adrenoceptor|alpha-2A adrenoreceptor|alpha-2AAR subtype C10	RNAP	104210	P08913	465.0
29	151	ADRA2B	ADRA2L1, ADRA2RL1, ADRARL1, ALPHA2BAR, FAME2, alpha-2BAR	adrenoceptor alpha 2B	alpha-2B adrenergic receptor|ADRA2B adrenergic, alpha-2B-, receptor|G-protein coupled receptor|alpha-2 adrenergic receptor subtype C2|alpha-2-adrenergic receptor-like 1|alpha-2B adrenoreceptor	RNAP	104260	P18089	450.0
30	153	ADRB1	ADRB1R, B1AR, BETA1AR, FNSS2, RHR	adrenoceptor beta 1	beta-1 adrenergic receptor|adrenergic, beta-1-, receptor|beta-1 adrenoceptor|beta-1 adrenoreceptor	RNAP	109630	P08588	477.0
31	154	ADRB2	ADRB2R, ADRBR, B2AR, BAR, BETA2AR	adrenoceptor beta 2	beta-2 adrenergic receptor|adrenergic, beta-2-, receptor, surface|adrenoceptor beta 2 surface|beta-2 adrenoceptor|beta-2 adrenoreceptor|catecholamine receptor	RNAP	109690	P07550	413.0
32	155	ADRB3	BETA3AR	adrenoceptor beta 3	beta-3 adrenergic receptor|adrenergic, beta-3-, receptor|beta-3 adrenoceptor|beta-3 adrenoreceptor	RNAP	109691	P13945	408.0
