	GeneID	Symbol	Aliases	description	other_designations	Pathway	OMIM	swissprot_id	protein_length
0	25	ABL1	ABL, BCR-ABL, CHDSKM, JTK7, bcr/abl, c-ABL, c-ABL1, p150, v-abl	ABL proto-oncogene 1, non-receptor tyrosine kinase	tyrosine-protein kinase ABL1|ABL protooncogene 1 nonreceptor tyrosine kinase|Abelson tyrosine-protein kinase 1|BCR-ABL1 p190|BCR/ABL e8a2 fusion|BCR/ABL1 e1a2 fusion protein|bcr/c-abl oncogene protein|c-abl oncogene 1, receptor tyrosine kinase|proto-oncogene c-Abl|proto-oncogene tyrosine-protein kinase ABL1|v-abl Abelson murine leukemia viral oncogene homolog 1	DSB, MMR	189980.0	P00519	1130.0
1	60	ACTB	BRWS1, PS1TP5BP1	actin beta	actin, cytoplasmic 1|I(2)-actin|PS1TP5-binding protein 1|beta cytoskeletal actin	DSB	102630.0	P60709	375.0
2	86	ACTL6A	ACTL6, ARPN-BETA, Arp4, BAF53A, INO80K, SMARCN1	actin like 6A	actin-like protein 6A|53 kDa BRG1-associated factor A|BAF complex 53 kDa subunit|BAF53|BRG1-associated factor 53A|INO80 complex subunit K|actin-related protein 4|actin-related protein Baf53a|arpNbeta|hArpN beta	DSB	604958.0	O96019	429.0
3	142	PARP1	ADPRT, ADPRT 1, ADPRT1, ARTD1, PARP, PARP-1, PARS, PPOL, Poly-PARP, pADPRT-1	poly(ADP-ribose) polymerase 1	poly [ADP-ribose] polymerase 1|ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)|ADP-ribosyltransferase NAD(+)|ADP-ribosyltransferase diphtheria toxin-like 1|DNA ADP-ribosyltransferase PARP1|NAD(+) ADP-ribosyltransferase 1|poly (ADP-ribose) polymerase family, member 1|poly(ADP-ribose) synthetase|poly(ADP-ribosyl)transferase|poly[ADP-ribose] synthase 1|protein poly-ADP-ribosyltransferase PARP1	BER, DSB	173870.0	P09874	1014.0
4	328	APEX1	APE, APE1, APEN, APEX, APX, HAP1, REF1	apurinic/apyrimidinic endodeoxyribonuclease 1	DNA-(apurinic or apyrimidinic site) endonuclease|AP endonuclease class I|AP lyase|APEX nuclease (multifunctional DNA repair enzyme) 1|DNA-(apurinic or apyrimidinic site) lyase|apurinic-apyrimidinic endonuclease 1|apurinic/apyrimidinic (abasic) endonuclease|deoxyribonuclease (apurinic or apyrimidinic)|protein REF-1|redox factor-1	BER	107748.0	P27695	318.0
5	472	ATM	AT1, ATA, ATC, ATD, ATDC, ATE, TEL1, TELO1	ATM serine/threonine kinase	serine-protein kinase ATM|A-T mutated|AT mutated|TEL1, telomere maintenance 1, homolog|ataxia telangiectasia mutated|serine/threonine kinase ATM	DSB	607585.0	Q13315	3056.0
6	545	ATR	FCTCS, FRP1, MEC1, SCKL, SCKL1	ATR serine/threonine kinase	serine/threonine-protein kinase ATR|FRAP-related protein-1|MEC1, mitosis entry checkpoint 1, homolog|ataxia telangiectasia and Rad3-related protein	DSB, CLR	601215.0	Q13535	2644.0
7	605	BCL7A	BCL7, SMARCJ1	BAF chromatin remodeling complex subunit BCL7A	B-cell CLL/lymphoma 7 protein family member A|B-cell CLL/lymphoma 7A|B-cell CLL/lymphoma-7|BCL tumor suppressor 7A|BCL7A, BAF complex component	DSB	601406.0	Q4VC05	210.0
8	641	BLM	BS, MGRISCE1, RECQ2, RECQL2, RECQL3	BLM RecQ like helicase	recQ-like DNA helicase BLM|Bloom syndrome RecQ like helicase|Bloom syndrome, RecQ helicase-like|DNA helicase, RecQ-like type 2|bloom syndrome protein|recQ protein-like 3	DSB	604610.0	P54132	1417.0
9	672	BRCA1	BRCAI, BRCC1, BROVCA1, FANCS, IRIS, PNCA4, PPP1R53, PSCP, RNF53	BRCA1 DNA repair associated	breast cancer type 1 susceptibility protein|BRCA1/BRCA2-containing complex, subunit 1|Fanconi anemia, complementation group S|RING finger protein 53|breast and ovarian cancer susceptibility protein 1|breast cancer 1, early onset|early onset breast cancer 1|protein phosphatase 1, regulatory subunit 53	DSB	113705.0	P38398	1863.0
